fecha,descripcion,monto,mes
2024-07-05,Supermercado,453.62,julio
2024-07-14,Ropa,270.48,julio
2024-11-22,Comida,288.71,noviembre
2024-07-11,Otros,59.86,julio
2024-10-23,Transporte,267.98,octubre
2024-08-10,Otros,255.87,agosto
2024-10-01,Transporte,206.03,octubre
2024-07-14,Transporte,309.64,julio
2025-01-11,Servicios,75.53,enero
2025-04-18,Otros,161.57,abril
2025-04-07,Supermercado,68.91,abril
2024-10-23,Servicios,190.21,octubre
2024-11-12,Comida,31.83,noviembre
2024-06-28,Educación,294.12,junio
2025-04-04,Entretenimiento,443.71,abril
2025-03-29,Salud,100.64,marzo
2025-05-18,Educación,132.03,mayo
2025-05-27,Salud,422.17,mayo
2025-05-08,Educación,446.98,mayo
2025-03-23,Ropa,359.87,marzo
2025-01-15,Entretenimiento,427.03,enero
2024-06-15,Entretenimiento,178.24,junio
2024-12-23,Transporte,214.17,diciembre
2024-08-02,Ropa,372.28,agosto
2025-03-22,Transporte,134.37,marzo
2025-05-19,Ropa,189.57,mayo
2025-02-05,Educación,295.7,febrero
2024-07-14,Supermercado,119.51,julio
2024-12-02,Ropa,50.14,diciembre
2025-05-30,Ropa,158.5,mayo
2025-04-18,Entretenimiento,282.32,abril
2025-05-27,Educación,211.56,mayo
2024-07-12,Transporte,139.54,julio
2024-10-31,Ropa,112.06,octubre
2025-01-14,Servicios,334.24,enero
2024-10-26,Otros,427.36,octubre
2025-02-01,Transporte,105.74,febrero
2025-02-11,Transporte,372.34,febrero
2024-08-10,Entretenimiento,286.98,agosto
2025-01-16,Entretenimiento,473.18,enero
2025-04-26,Supermercado,229.72,abril
2024-09-19,Supermercado,203.02,septiembre
2024-12-23,Entretenimiento,64.6,diciembre
2025-05-17,Otros,131.15,mayo
2024-11-30,Comida,197.24,noviembre
2024-08-17,Servicios,22.6,agosto
2024-06-26,Entretenimiento,76.83,junio
2025-06-04,Comida,416.2,junio
2024-07-12,Entretenimiento,316.72,julio
2024-07-30,Salud,241.47,julio
